"ID","Player","Team","Position","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros"
"*03aqp*","Mohamed Salah","LIV","F","FA","33","BOU Fri 3:00PM","777.5","0","100","2.1","100%"
"*05l8q*","Cole Palmer","CHE","M","Fiji","23","CRY Sun 9:00AM","773.75","0","100","3.1","100%"
"*05gcr*","Bruno Fernandes","MUN","M","saj","30","ARS Sun 11:30AM","722.5","0","100","4.4","100%"
"*04y92*","Bukayo Saka","ARS","M","ThatGuy","23","@MUN Sun 11:30AM","647","0","100","1.4","100%"
"*061vq*","Erling Haaland","MCI","F","Citeh","24","@WOL Sat 12:30PM","640.25","0","100","5.3","100%"
"*046c5*","Jarrod Bowen","WHU","F","Fiji","28","@SUN Sat 10:00AM","630.75","0","100","11.2","100%"
"*05ocl*","Ollie Watkins","AVL","F","Martial","29","NEW Sat 7:30AM","564","0","100","18.9","100%"
"*05uht*","Morgan Rogers","AVL","M","saj","22","NEW Sat 7:30AM","563","0","100","28.1","100%"
"*068y0*","Antoine Semenyo","BOU","F","PMSWJ","25","@LIV Fri 3:00PM","530.25","0","100","13.1","100%"
"*05r34*","Amad Diallo","MUN","M","TMKT","23","ARS Sun 11:30AM","529","0","100","17.5","100%"
"*04qr9*","Morgan Gibbs-White","NOT","M","ThatGuy","25","BRF Sun 9:00AM","528","0","100","18.7","100%"
"*04adp*","Aaron Wan-Bissaka","WHU","D","Deekay","27","@SUN Sat 10:00AM","515","0","100","57.3","98%"
"*067yz*","Matheus Cunha","MUN","F","Fiji","26","ARS Sun 11:30AM","513.5","0","100","8.6","100%"
"*038ze*","Alex Iwobi","FUL","M","Deekay","29","@BHA Sat 10:00AM","510","0","100","27.5","100%"
"*03rzp*","Antonee Robinson","FUL","D","Fiji","27","@BHA Sat 10:00AM","505.25","0","100","31","100%"
"*06v21*","Florian Wirtz","LIV","M","FA","22","BOU Fri 3:00PM","504.5","0","100","6.9","100%"
"*05nt6*","Eberechi Eze","CRY","M","Martial","27","@CHE Sun 9:00AM","503","0","100","10.3","100%"
"*04yo7*","Youri Tielemans","AVL","M","Deekay","28","NEW Sat 7:30AM","489.5","0","100","49.3","100%"
"*05uor*","Yoane Wissa","BRF","F","saj","28","@NOT Sun 9:00AM","487.25","0","100","27.2","100%"
"*063q8*","Mikkel Damsgaard","BRF","M","saj","25","@NOT Sun 9:00AM","481.5","0","100","34.5","95%"
"*0646f*","Alexander Isak","NEW","F","Deekay","25","@AVL Sat 7:30AM","478.5","0","100","6.1","100%"
"*06jgi*","Daniel Munoz","CRY","D","Fiji","29","@CHE Sun 9:00AM","472.75","0","100","16.6","100%"
"*05748*","Ismaila Sarr","CRY","M","Citeh","27","@CHE Sun 9:00AM","455.5","0","100","63.3","100%"
"*06fup*","Jeremy Doku","MCI","M","PMSWJ","23","@WOL Sat 12:30PM","443.25","0","100","45","100%"
"*067zv*","Kevin Schade","BRF","F","ThatGuy","23","@NOT Sun 9:00AM","443","0","100","57.4","100%"
"*05n07*","Pedro Porro","TOT","D","PMSWJ","25","BUR Sat 10:00AM","435.75","0","100","37.4","100%"
"*062ci*","Kaoru Mitoma","BHA","M","PMSWJ","28","FUL Sat 10:00AM","435","0","100","25.8","100%"
"*04p0d*","Dwight McNeil","EVE","M","Deekay","25","@LEE Mon 3:00PM","425.75","0","100","17.2","100%"
"*06clt*","Justin Kluivert","BOU","M","Martial","26","@LIV Fri 3:00PM","413.75","0","100","48.1","100%"
"*05r94*","Iliman Ndiaye","EVE","M","saj","25","@LEE Mon 3:00PM","412.75","0","100","68.3","98%"
"*0522h*","Alexis Mac Allister","LIV","M","Martial","26","BOU Fri 3:00PM","411.25","0","100","66.9","100%"
"*03hff*","Josh Cullen","BUR","M","FA","29","@TOT Sat 10:00AM","408.75","0","2","1204.4","10%"
"*061vk*","Jaidon Anthony","BUR","F","FA","25","@TOT Sat 10:00AM","408.5","0","44","157.1","40%"
"*05ylj*","Bruno Guimaraes","NEW","M","Haha","27","@AVL Sat 7:30AM","406","0","100","71.8","100%"
"*06mow*","Jorgen Strand Larsen","WOL","F","FA","25","MCI Sat 12:30PM","401.75","0","100","72.5","100%"
"*05r9b*","Martin Odegaard","ARS","M","TMKT","26","@MUN Sun 11:30AM","398.75","0","100","20.4","100%"
"*068yd*","Joao Gomes","WOL","M","FA","24","MCI Sat 12:30PM","393.5","0","2","1110.4","12%"
"*0687c*","Carlos Alcaraz","EVE","M","FA","22","@LEE Mon 3:00PM","390.75","0","100","83.2","95%"
"*05r8o*","Jean-Philippe Mateta","CRY","F","Haha","28","@CHE Sun 9:00AM","388","0","100","49.5","100%"
"*06fxe*","Ryan Gravenberch","LIV","M","saj","23","BOU Fri 3:00PM","387.75","0","44","153.4","48%"
"*061ya*","Brennan Johnson","TOT","F","FA","24","BUR Sat 10:00AM","385.25","0","100","78.5","100%"
"*0524k*","Rodri","MCI","M","FA","29","@WOL Sat 12:30PM","385","0","100","49.9","100%"
"*06rma*","Marshall Munetsi","WOL","M","ThatGuy","29","MCI Sat 12:30PM","384.25","0","34","152.4","48%"
"*05trb*","Bryan Mbeumo","BRF","F","Martial","25","@NOT Sun 9:00AM","381.25","0","100","9.3","100%"
"*0647t*","Lucas Paqueta","WHU","M","TMKT","27","@SUN Sat 10:00AM","379.75","0","34","156.6","55%"
"*068ym*","Enzo Fernandez","CHE","M","Haha","24","CRY Sun 9:00AM","376","0","100","21.1","100%"
"*04agz*","Declan Rice","ARS","M","Deekay","26","@MUN Sun 11:30AM","373.5","0","100","32.5","100%"
"*06uyc*","Adrien Truffert","BOU","D","FA","23","@LIV Fri 3:00PM","372.75","0","88","119.3","85%"
"*05rb8*","Moises Caicedo","CHE","M","Citeh","23","CRY Sun 9:00AM","371.25","0","53","154","55%"
"*02m5b*","Chris Wood","NOT","F","TMKT","33","BRF Sun 9:00AM","371.25","0","100","66.8","98%"
"*04mdn*","Anthony Gordon","NEW","M","KLPD","24","@AVL Sat 7:30AM","366.25","0","100","23.8","100%"
"*06ex4*","Josko Gvardiol","MCI","D","saj","23","@WOL Sat 12:30PM","363.25","0","100","66.1","100%"
"*056iy*","Pedro Neto","CHE","F","ThatGuy","25","CRY Sun 9:00AM","358.5","0","100","27.8","100%"
"*06p6j*","Evanilson","BOU","F","saj","25","@LIV Fri 3:00PM","358","0","100","60","100%"
"*06fxv*","Jean-Ricner Bellegarde","WOL","M","Fiji","27","MCI Sat 12:30PM","357.75","0","68","127.3","72%"
"*05opj*","Elliot Anderson","NOT","M","FA","22","BRF Sun 9:00AM","352","0","100","90.6","100%"
"*05u1m*","Nathan Collins","BRF","D","Fiji","24","@NOT Sun 9:00AM","340.75","0","100","67.6","92%"
"*03fgo*","Dominic Solanke","TOT","F","FA","27","BUR Sat 10:00AM","340","0","100","35.2","100%"
"*04yey*","Max Kilman","WHU","D","Citeh","28","@SUN Sat 10:00AM","336.25","0","59","138.8","55%"
"*06cms*","Sandro Tonali","NEW","M","KLPD","25","@AVL Sat 7:30AM","335.5","0","95","101.5","95%"
"*03yr0*","Daniel James","LEE","M","FA","27","EVE Mon 3:00PM","333.5","0","73","135.4","75%"
"*0427d*","James Tarkowski","EVE","D","FA","32","@LEE Mon 3:00PM","329.5","0","100","51.2","98%"
"*06fv8*","Mohammed Kudus","TOT","M","saj","24","BUR Sat 10:00AM","324.5","0","100","33.5","100%"
"*067yv*","Cody Gakpo","LIV","F","KLPD","26","BOU Fri 3:00PM","323","0","100","54.9","98%"
"*06uzy*","Ao Tanaka","LEE","M","FA","26","EVE Mon 3:00PM","321","0","2","1082.4","12%"
"*05ylx*","Dejan Kulusevski","TOT","M","Fiji","25","BUR Sat 10:00AM","320.5","0","100","46.4","100%"
"*04abb*","Phil Foden","MCI","M","FA","25","@WOL Sat 12:30PM","320.25","0","100","25.2","100%"
"*05g2o*","Joao Pedro","CHE","F","TMKT","23","CRY Sun 9:00AM","319.5","0","100","30.3","100%"
"*061vp*","Brenden Aaronson","LEE","M","FA","24","EVE Mon 3:00PM","318.75","0","2","1177.4","8%"
"*03am7*","Jacob Murphy","NEW","M","KLPD","30","@AVL Sat 7:30AM","310.25","0","100","75.2","95%"
"*064a0*","Wilfried Gnonto","LEE","F","FA","21","EVE Mon 3:00PM","309.25","0","58","136.6","68%"
"*04mi4*","Callum Hudson-Odoi","NOT","F","FA","24","BRF Sun 9:00AM","308.75","0","100","84.5","100%"
"*06v0g*","Trai Hume","SUN","D","FA","23","WHU Sat 10:00AM","307.5","0","42","156.2","30%"
"*05o6h*","Kai Havertz","ARS","F","Haha","26","@MUN Sun 11:30AM","306.5","0","100","47.8","100%"
"*05yld*","Luis Diaz","LIV","F","Citeh","28","BOU Fri 3:00PM","304.5","0","100","21.3","100%"
"*06p4j*","Noussair Mazraoui","MUN","D","saj","27","ARS Sun 11:30AM","304.5","0","39","134.7","52%"
"*05a6e*","Neco Williams","NOT","D","PMSWJ","24","BRF Sun 9:00AM","302","0","85","100.7","95%"
"*06fwi*","Carlos Baleba","BHA","M","Haha","21","FUL Sat 10:00AM","301.75","0","25","175.7","15%"
"*0639x*","Marcus Tavernier","BOU","M","Martial","26","@LIV Fri 3:00PM","301.75","0","100","52.9","98%"
"*045ob*","Caoimhin Kelleher","BRF","G","FA","26","@NOT Sun 9:00AM","300.25","0","93","127.5","95%"
"*06mvz*","Savio","MCI","M","saj","21","@WOL Sat 12:30PM","299.5","0","100","38.9","100%"
"*0689w*","Georginio Rutter","BHA","F","KLPD","23","FUL Sat 10:00AM","297.75","0","100","95.1","95%"
"*052h5*","Gabriel Martinelli","ARS","M","Deekay","24","@MUN Sun 11:30AM","297","0","100","55.5","100%"
"*043qy*","Lewis Cook","BOU","M","TMKT","28","@LIV Fri 3:00PM","293.5","0","76","117.8","75%"
"*03vlj*","Virgil van Dijk","LIV","D","Haha","34","BOU Fri 3:00PM","291.75","0","100","47.1","100%"
"*06c6g*","Yankuba Minteh","BHA","M","Fiji","20","FUL Sat 10:00AM","291","0","100","41.5","100%"
"*05w9i*","Marc Cucurella","CHE","D","FA","26","CRY Sun 9:00AM","288","0","100","92.4","98%"
"*06v0j*","Dan Neil","SUN","M","FA","23","WHU Sat 10:00AM","287.5","0","2","1252.4","2%"
"*0414o*","James Maddison","TOT","M","TMKT","28","BUR Sat 10:00AM","286","0","100","51.2","100%"
"*06v07*","Rayan Cherki","MCI","M","FA","21","@WOL Sat 12:30PM","284","0","100","52.5","100%"
"*06pic*","Andre","WOL","M","FA","24","MCI Sat 12:30PM","283.25","0","2","1169.4","2%"
"*05o8o*","Jayden Bogle","LEE","D","FA","24","EVE Mon 3:00PM","282.5","0","31","151.7","30%"
"*03rxa*","Idrissa Gueye","EVE","M","FA","35","@LEE Mon 3:00PM","281","0","2","1120.4","5%"
"*05uhj*","Conor Bradley","LIV","D","KLPD","22","BOU Fri 3:00PM","279.25","0","80","133.6","78%"
"*06cmm*","Dominik Szoboszlai","LIV","M","Martial","24","BOU Fri 3:00PM","277.5","0","100","58.8","100%"
"*061ve*","Ryan Christie","BOU","M","FA","30","@LIV Fri 3:00PM","276.5","0","68","132.4","65%"
"*032f9*","Jordan Pickford","EVE","G","FA","31","@LEE Mon 3:00PM","276","0","100","105.2","100%"
"*05oz3*","James Trafford","BUR","G","FA","22","@TOT Sat 10:00AM","273.25","0","92","123.1","95%"
"*0554i*","Joelinton","NEW","M","FA","28","@AVL Sat 7:30AM","271.25","0","58","130.3","60%"
"*06v0p*","Enzo Le Fee","SUN","M","FA","25","WHU Sat 10:00AM","269","0","68","130.1","70%"
"*044ei*","Nick Pope","NEW","G","TMKT","33","@AVL Sat 7:30AM","269","0","80","149.4","85%"
"*06rf9*","Omar Marmoush","MCI","F","Martial","26","@WOL Sat 12:30PM","267","0","100","17.2","100%"
"*06mw0*","Nikola Milenkovic","NOT","D","saj","27","BRF Sun 9:00AM","265.75","0","100","82.2","100%"
"*061va*","Boubacar Kamara","AVL","M","FA","25","NEW Sat 7:30AM","264.5","0","2","1075.4","2%"
"*04sjt*","Alisson","LIV","G","Haha","32","BOU Fri 3:00PM","264.25","0","97","134.3","100%"
"*04fk5*","Ederson","MCI","G","ThatGuy","31","@WOL Sat 12:30PM","262.5","0","34","171.7","35%"
"*05ylw*","Rodrigo Bentancur","TOT","M","FA","28","BUR Sat 10:00AM","260.5","0","7","353.4","12%"
"*06v0m*","Luke ONien","SUN","M","FA","30","WHU Sat 10:00AM","259.75","0","0","-","0%"
"*04hk9*","Mikel Merino","ARS","M","Martial","29","@MUN Sun 11:30AM","257.75","0","68","134.5","68%"
"*05y9n*","Lewis Hall","NEW","D","FA","20","@AVL Sat 7:30AM","256.75","0","100","66.8","100%"
"*03rxs*","Harry Wilson","FUL","M","FA","28","@BHA Sat 10:00AM","256.5","0","100","92.7","95%"
"*06y9n*","Jamie Gittens","CHE","F","FA","20","CRY Sun 9:00AM","255.25","0","85","95.5","85%"
"*044w8*","Marcus Edwards","BUR","F","FA","26","@TOT Sat 10:00AM","252.75","0","42","139.1","50%"
"*04sat*","Emile Smith Rowe","FUL","M","TMKT","24","@BHA Sat 10:00AM","252.5","0","69","137.4","70%"
"*068n8*","Noni Madueke","ARS","M","PMSWJ","23","@MUN Sun 11:30AM","249.75","0","100","83.3","100%"
"*05akv*","Tyrick Mitchell","CRY","D","saj","25","@CHE Sun 9:00AM","249.5","0","100","93.2","95%"
"*05ybq*","Vitalii Mykolenko","EVE","D","FA","26","@LEE Mon 3:00PM","249","0","100","84.3","100%"
"*063e7*","Marcos Senesi","BOU","D","FA","28","@LIV Fri 3:00PM","248.25","0","64","138.3","65%"
"*06jgs*","Adam Wharton","CRY","M","FA","21","@CHE Sun 9:00AM","248.25","0","51","150.6","58%"
"*05l27*","Jarrad Branthwaite","EVE","D","FA","23","@LEE Mon 3:00PM","247.75","0","54","144.5","52%"
"*051k0*","John McGinn","AVL","M","FA","30","NEW Sat 7:30AM","246.5","0","5","383.5","12%"
"*05oh0*","Jan-Paul van Hecke","BHA","D","FA","25","FUL Sat 10:00AM","246.5","0","7","339.4","20%"
"*06mn0*","Igor Thiago","BRF","F","FA","24","@NOT Sun 9:00AM","246","0","97","94.2","90%"
"*05oeh*","Kenny Tete","FUL","D","TMKT","29","@BHA Sat 10:00AM","245.75","0","81","132.3","78%"
"*067ys*","Jack Hinshelwood","BHA","M","FA","20","FUL Sat 10:00AM","245.5","0","3","382.1","10%"
"*04qrc*","Raul Jimenez","FUL","F","Citeh","34","@BHA Sat 10:00AM","242","0","100","60.7","98%"
"*062p3*","Keane Lewis-Potter","BRF","M","FA","24","@NOT Sun 9:00AM","241","0","34","179.2","22%"
"*05udg*","Jose Sa","WOL","G","FA","32","MCI Sat 12:30PM","240.5","0","5","374.9","10%"
"*05oef*","Alphonse Areola","WHU","G","FA","32","@SUN Sat 10:00AM","240.25","0","2","1098.4","2%"
"*06pib*","Manuel Ugarte","MUN","M","FA","24","ARS Sun 11:30AM","240.25","0","2","1217.4","8%"
"*05ogb*","Anthony Elanga","NEW","F","Haha","23","@AVL Sat 7:30AM","240","0","100","38.4","100%"
"*04abn*","Harvey Barnes","NEW","M","FA","27","@AVL Sat 7:30AM","239.75","0","93","110.8","92%"
"*06do9*","Milos Kerkez","LIV","D","KLPD","21","BOU Fri 3:00PM","239","0","100","57.7","100%"
"*04yme*","Robert Sanchez","CHE","G","FA","27","CRY Sun 9:00AM","238.75","0","44","159.2","52%"
"*062p5*","Levi Colwill","CHE","D","FA","22","CRY Sun 9:00AM","237.75","0","34","166.3","35%"
"*06v02*","Joel Piroe","LEE","F","FA","25","EVE Mon 3:00PM","237.5","0","75","125.5","85%"
"*04f6h*","Matz Sels","NOT","G","Deekay","33","BRF Sun 9:00AM","237.25","0","83","145.1","92%"
"*063e3*","Neto","BOU","G","FA","36","@LIV Fri 3:00PM","237","0","0","-","2%"
"*06cmb*","Guglielmo Vicario","TOT","G","FA","28","BUR Sat 10:00AM","235.25","0","66","157.8","62%"
"*04spw*","James Garner","EVE","M","FA","24","@LEE Mon 3:00PM","234.75","0","2","1096.4","5%"
"*063zg*","Pervis Estupinan","BHA","D","FA","27","FUL Sat 10:00AM","233","0","100","87.4","100%"
"*06fwz*","Murillo","NOT","D","Deekay","23","BRF Sun 9:00AM","232.75","0","97","87.5","98%"
"*05uoc*","Cristian Romero","TOT","D","FA","27","BUR Sat 10:00AM","232.5","0","100","105.6","92%"
"*03brm*","Patrick Roberts","SUN","M","FA","28","WHU Sat 10:00AM","229.5","0","0","-","2%"
"*06dps*","Andre Onana","MUN","G","FA","29","ARS Sun 11:30AM","227","0","2","1106.4","8%"
"*06ymu*","El Hadji Malick Diouf","WHU","M","FA","20","@SUN Sat 10:00AM","225.25","0","21","196.7","13%"
"*068yi*","Illia Zabarnyi","BOU","D","FA","22","@LIV Fri 3:00PM","225.25","0","10","320.5","10%"
"*05nzu*","Gabriel Magalhaes","ARS","D","FA","27","@MUN Sun 11:30AM","224.75","0","100","77.5","100%"
"*05s08*","Valentino Livramento","NEW","D","Haha","22","@AVL Sat 7:30AM","224.5","0","76","116.5","85%"
"*05tqx*","David Raya","ARS","G","saj","29","@MUN Sun 11:30AM","224","0","92","144.8","90%"
"*05220*","Sepp van den Berg","BRF","D","FA","23","@NOT Sun 9:00AM","223.25","0","34","166.7","20%"
"*03frx*","Ola Aina","NOT","D","Fiji","28","BRF Sun 9:00AM","222.25","0","44","160.8","52%"
"*068lx*","Dango Ouattara","BOU","M","ThatGuy","23","@LIV Fri 3:00PM","222.25","0","100","83","100%"
"*06o2t*","Niclas Fullkrug","WHU","F","FA","32","@SUN Sat 10:00AM","219.25","0","44","170","38%"
"*05os4*","Rayan Ait-Nouri","MCI","D","Martial","24","@WOL Sat 12:30PM","219","0","100","51.5","100%"
"*06pia*","Maxence Lacroix","CRY","D","Deekay","25","@CHE Sun 9:00AM","216.75","0","71","131.7","70%"
"*06jgr*","Maxime Esteve","BUR","D","FA","23","@TOT Sat 10:00AM","216.5","0","5","360.5","12%"
"*02lsa*","Dan Burn","NEW","D","TMKT","33","@AVL Sat 7:30AM","215.75","0","97","101.6","95%"
"*05yg5*","Toti","WOL","D","FA","26","MCI Sat 12:30PM","215.25","0","2","1122.4","5%"
"*06fvn*","Beto","EVE","F","FA","27","@LEE Mon 3:00PM","213.75","0","90","105.5","90%"
"*062oh*","Jake OBrien","EVE","D","FA","24","@LEE Mon 3:00PM","211.75","0","24","188.2","12%"
"*03yww*","Dean Henderson","CRY","G","Citeh","28","@CHE Sun 9:00AM","211.25","0","14","274.9","35%"
"*05gcp*","Tomas Soucek","WHU","M","Citeh","30","@SUN Sat 10:00AM","210.5","0","71","130.3","70%"
"*061vn*","Rodrigo Muniz","FUL","F","FA","24","@BHA Sat 10:00AM","208.75","0","54","154.1","48%"
"*04qor*","Bernd Leno","FUL","G","FA","33","@BHA Sat 10:00AM","208.25","0","2","1035.4","18%"
"*04spq*","Jack Harrison","LEE","M","FA","28","EVE Mon 3:00PM","207.5","0","14","292.5","18%"
"*06mpp*","Mats Wieffer","BHA","M","FA","25","FUL Sat 10:00AM","205.5","0","83","100.3","85%"
"*0558w*","William Saliba","ARS","D","Citeh","24","@MUN Sun 11:30AM","204","0","81","110","90%"
"*050jq*","Marc Guehi","CRY","D","Fiji","25","@CHE Sun 9:00AM","203.25","0","71","133.4","75%"
"*03u2b*","Adama Traore","FUL","F","FA","29","@BHA Sat 10:00AM","201.5","0","69","145.6","62%"
"*05gcs*","Sander Berge","FUL","M","FA","27","@BHA Sat 10:00AM","200.25","0","2","1241.4","2%"
"*03dyx*","Josh Laurent","BUR","M","FA","30","@TOT Sat 10:00AM","199.5","0","0","-","0%"
"*02lz0*","Emiliano Martinez","AVL","G","FA","32","NEW Sat 7:30AM","196","0","8","310.7","15%"
"*06rlj*","Patrick Dorgu","MUN","D","FA","20","ARS Sun 11:30AM","192.5","0","66","153.1","52%"
"*05oig*","Liam Delap","CHE","F","PMSWJ","22","CRY Sun 9:00AM","191.75","0","100","67.1","100%"
"*03v9d*","Son Heung-Min","TOT","F","PMSWJ","33","BUR Sat 10:00AM","189.5","0","100","36.7","100%"
"*05os8*","Joachim Andersen","FUL","D","FA","29","@BHA Sat 10:00AM","188.5","0","7","363.4","10%"
"*06dmj*","Jurrien Timber","ARS","D","FA","24","@MUN Sun 11:30AM","187.5","0","51","128","70%"
"*03yqz*","Joe Rodon","LEE","D","FA","27","EVE Mon 3:00PM","185.75","0","2","1170.4","5%"
"*06fy7*","Nicolas Dominguez","NOT","M","FA","27","BRF Sun 9:00AM","180","0","0","-","0%"
"*068yt*","Sasa Lukic","FUL","M","FA","28","@BHA Sat 10:00AM","178.25","0","5","396.2","2%"
"*06ybp*","Thierno Barry","EVE","F","FA","22","@LEE Mon 3:00PM","169","0","50","116.4","67%"
"*05g4d*","Dennis Cirkin","SUN","D","FA","23","WHU Sat 10:00AM","168.75","0","2","1198.4","2%"
"*06uzn*","Lucas Pires","BUR","D","FA","24","@TOT Sat 10:00AM","168.5","0","0","-","0%"
"*06v12*","Fer Lopez","WOL","F","FA","21","MCI Sat 12:30PM","168","0","58","152.9","60%"
"*05t6y*","Hannibal Mejbri","BUR","M","FA","22","@TOT Sat 10:00AM","167.75","0","2","1188.4","5%"
"*04qfm*","Ryan Sessegnon","FUL","M","PMSWJ","25","@BHA Sat 10:00AM","167","0","93","115","85%"
"*05raa*","Hugo Bueno","WOL","D","FA","22","MCI Sat 12:30PM","166.5","0","0","-","0%"
"*06cmu*","Bart Verbruggen","BHA","G","Martial","22","FUL Sat 10:00AM","164.25","0","2","1049.4","10%"
"*06ezb*","Micky van de Ven","TOT","D","FA","24","BUR Sat 10:00AM","163","0","2","1090.4","12%"
"*06v05*","Jeremie Frimpong","LIV","D","FA","24","BOU Fri 3:00PM","162.25","0","100","43","100%"
"*0554g*","Calvin Bassey","FUL","D","FA","25","@BHA Sat 10:00AM","160.25","0","2","1147.4","2%"
"*06v06*","Tijjani Reijnders","MCI","M","FA","26","@WOL Sat 12:30PM","158.25","0","100","75.5","100%"
"*04tig*","Fabian Schar","NEW","D","KLPD","33","@AVL Sat 7:30AM","156.5","0","68","142.2","65%"
"*06p5s*","Brajan Gruda","BHA","M","KLPD","21","FUL Sat 10:00AM","156.25","0","78","122.7","78%"
"*06xzd*","Charalampos Kostoulas","BHA","F","FA","18","FUL Sat 10:00AM","156","0","24","187.4","20%"
"*06uzo*","Zian Flemming","BUR","M","FA","26","@TOT Sat 10:00AM","155","0","2","1250.4","5%"
"*05u7f*","Ibrahima Konate","LIV","D","FA","26","BOU Fri 3:00PM","155","0","97","110","98%"
"*051k3*","Jacob Ramsey","AVL","M","FA","24","NEW Sat 7:30AM","154.5","0","2","1184.4","8%"
"*05mzt*","Illan Meslier","LEE","G","FA","25","EVE Mon 3:00PM","154.25","0","5","367.9","2%"
"*051k7*","Reece James","CHE","D","Martial","25","CRY Sun 9:00AM","152.75","0","100","92.8","100%"
"*06y4g*","Antoni Milambo","BRF","M","FA","20","@NOT Sun 9:00AM","149.25","0","2","1110","5%"
"*05mzz*","Pascal Struijk","LEE","D","FA","25","EVE Mon 3:00PM","149","0","2","1133.4","5%"
